input,gold_hard,fine_label,llm_soft,llm_hard
What is average salary of restaurant manager in United States ?,numeric value,41,"[{'n': -1.9143545e-05, 'entity': -11.019527, 'description': -12.9547, 'ab': -14.831524, 'location': -15.798992}]",n
What comic strip sometimes features a mailman named Beasley ?,entity,5,"[{'description': -0.020285495, 'entity': -3.9088047, 'human': -11.233571, 'n': -13.140211, 'location': -13.625387}]",description
What device provided a new way to listen to music in 1963 ?,entity,13,"[{'description': -0.06996543, 'entity': -2.6946373, 'n': -12.075549, 'location': -14.235492, 'ab': -14.589184}]",description
"What will a kid eat the middle of , and save the chocolate on the outside for last ?",entity,9,"[{'description': -0.0002539584, 'entity': -8.300676, 'n': -12.430223, 'human': -13.671008, 'location': -14.597071}]",description
"On average , how long time does it take to type a screenplay ?",numeric value,44,"[{'n': -0.0002433488, 'description': -8.405448, 'entity': -10.893195, 'ab': -13.887443, 'location': -16.133741}]",n
What does the abbreviation IOC stand for ?,abbreviation,1,"[{'ab': -3.076318e-07, 'n': -14.937706, 'description': -19.859734, 'entity': -20.356186, 'location': -22.827744}]",ab
What 's a short ton ?,description,24,"[{'ab': -0.0007528626, 'description': -7.9858756, 'entity': -8.124539, 'n': -9.059438, 'location': -17.833624}]",ab
How long do cardinal eggs incubate ?,numeric value,44,"[{'n': -0.000447267, 'description': -8.281773, 'entity': -8.555737, 'ab': -13.513158, 'location': -15.421818}]",n
What two body parts grow all your life ?,entity,3,"[{'description': -0.008601558, 'entity': -4.855441, 'human': -7.320163, 'n': -9.09624, 'location': -12.353457}]",description
What Texas surgeon performed the first artificial heart transplant ?,human being,29,"[{'entity': -0.54146135, 'human': -0.88794273, 'description': -5.0640063, 'location': -8.391635, 'n': -9.9184675}]",entity
What country has the port of Haifa ?,location,33,"[{'location': -0.0019523648, 'entity': -6.2481146, 'description': -11.3487, 'n': -12.518301, 'ab': -13.876921}]",location
What is the main ingredient of yogurt ?,entity,18,"[{'entity': -0.36220628, 'description': -1.1916816, 'n': -8.823524, 'human': -13.035919, 'location': -13.706581}]",entity
What is the recipe for Eggs Benedict ?,entity,9,"[{'description': -0.003251851, 'entity': -5.7343616, 'n': -11.2481, 'human': -15.004289, 'location': -15.265396}]",description
"What is the address for the main government office in Rome , Italy ?",location,35,"[{'location': -7.818713e-06, 'entity': -12.537917, 'n': -12.866224, 'description': -13.3545685, 'ab': -17.128319}]",location
What 's the largest U.S. agricultural crop by weight ?,entity,9,"[{'n': -0.044757735, 'entity': -3.2486758, 'description': -5.340984, 'ab': -9.185946, 'location': -9.877155}]",n
What is the electronic device used to produce visual displays corresponding to electric signals ?,entity,13,"[{'description': -0.15685277, 'entity': -1.9299011, 'n': -11.9933, 'ab': -13.709029, 'location': -15.750397}]",description
What is goldenseal ?,description,24,"[{'entity': -0.38658106, 'description': -1.1376187, 'ab': -10.270172, 'n': -11.720031, 'location': -15.647987}]",entity
Who made the most appearances in the center square on Hollywood Squares ?,human being,29,"[{'human': -0.05179717, 'entity': -3.0073938, 'description': -6.8807, 'n': -10.5951395, 'location': -12.125801}]",human
What is the Lost Colony ?,description,24,"[{'description': -0.64475936, 'entity': -0.74403304, 'location': -11.053695, 'n': -13.530645, 'ab': -14.667876}]",description
What is the chemical composition of a Barbie ?,entity,18,"[{'description': -0.0030517245, 'entity': -5.794304, 'n': -13.099174, 'human': -15.912666, 'ab': -16.595291}]",description
How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?,numeric value,38,"[{'n': -3.4089344e-06, 'entity': -12.708201, 'description': -14.718867, 'ab': -16.365246, 'human': -19.04793}]",n
What store claims to be the world 's largest department store ?,human being,28,"[{'entity': -0.067793466, 'description': -2.7307649, 'location': -7.9148088, 'n': -11.544059, 'ab': -13.568831}]",entity
What is the lens behind the iris in the eye called ?,entity,21,"[{'entity': -0.09734299, 'description': -2.380012, 'ab': -8.823882, 'n': -10.352904, 'human': -10.940444}]",entity
What is Tetrinet ?,description,24,"[{'ab': -0.084665105, 'entity': -2.5885026, 'description': -5.110452, 'n': -11.152719, 'location': -16.57229}]",ab
What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?,human being,29,"[{'entity': -0.5333191, 'human': -1.3185898, 'description': -1.9259734, 'n': -9.759798, 'ab': -10.341645}]",entity
What is the longest English word that can be formed using just the first row of letters on a typewriter ?,entity,23,"[{'entity': -0.21188252, 'description': -1.6813191, 'n': -5.406073, 'human': -8.495657, 'ab': -9.098555}]",entity
What is Chiricahua the name of ?,entity,21,"[{'entity': -0.060114633, 'description': -2.8484294, 'location': -7.8508315, 'n': -11.562075, 'ab': -12.256753}]",entity
What 's the green variety of beryl called ?,entity,21,"[{'description': -0.14702757, 'entity': -1.9898008, 'n': -12.247307, 'ab': -13.025169, 'location': -15.241479}]",description
What was the name of Captain Bligh 's ship ?,entity,22,"[{'entity': -0.0048767217, 'description': -5.326669, 'n': -13.290802, 'ab': -13.523903, 'location': -13.658952}]",entity
Which is heavier - cream or milk ?,entity,9,"[{'n': -0.03272477, 'description': -3.9009726, 'entity': -4.42911, 'ab': -10.077234, 'human': -12.369988}]",n
Who said `` the only thing we have to fear is fear itself '' ?,human being,29,"[{'human': -0.06973463, 'entity': -2.736803, 'description': -5.967424, 'n': -11.373696, 'location': -12.099595}]",human
Where is Romania located ?,location,35,"[{'location': -0.000103910315, 'entity': -9.218236, 'description': -12.925617, 'n': -13.017513, 'ab': -16.786129}]",location
How many films are made by the major studios in a year ?,numeric value,38,"[{'n': -1.0323977e-05, 'entity': -11.516642, 'description': -14.852617, 'ab': -16.288912, 'location': -18.854883}]",n
How many small businesses are there in the U.S .,numeric value,38,"[{'n': -0.00017139182, 'entity': -8.67657, 'description': -14.4586735, 'ab': -15.289606, 'location': -16.50519}]",n
What age is Benny Carter ?,numeric value,44,"[{'n': -0.00021932404, 'entity': -9.085707, 'human': -9.274542, 'description': -11.321065, 'ab': -15.518804}]",n
How do you clean an LCD monitor screen ?,description,26,"[{'description': -3.529076e-06, 'entity': -12.601954, 'n': -15.449161, 'location': -18.310823, 'ab': -19.25715}]",description
What city did the Mormons establish as their headquarters in 1847 ?,location,32,"[{'location': -2.1171965e-05, 'entity': -10.918279, 'description': -13.190221, 'n': -13.777708, 'ab': -16.06513}]",location
What is amezaiku ?,description,24,"[{'entity': -0.4962224, 'description': -1.4335471, 'ab': -1.8792868, 'n': -11.264197, 'location': -14.555983}]",entity
What two countries are linked by the Brenner Pass ?,location,33,"[{'location': -0.062128212, 'entity': -2.827631, 'description': -6.939249, 'n': -9.461473, 'ab': -10.176683}]",location
What new games are available for Nintendo 64 ?,entity,17,"[{'description': -0.14370632, 'entity': -2.0111609, 'n': -10.729315, 'human': -13.484853, 'location': -13.7488985}]",description
Mississippi has what name for a state nickname ?,location,36,"[{'description': -0.031633332, 'entity': -3.4795244, 'ab': -8.106668, 'location': -11.795328, 'n': -11.880068}]",description
What is the predominant color of the Tab label ?,entity,4,"[{'description': -9.0675334e-05, 'entity': -9.33911, 'n': -12.838742, 'location': -17.00154, 'ab': -17.514715}]",description
What U.S. city was named for St. Francis of Assisi ?,location,32,"[{'location': -0.0020486393, 'entity': -6.579197, 'description': -7.4981117, 'ab': -9.310619, 'n': -11.269581}]",location
"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?",numeric value,38,"[{'n': -2.4152187e-05, 'entity': -10.685678, 'description': -13.722977, 'ab': -15.498498, 'location': -18.685684}]",n
What is the definition of `` chancery '' file in real estate ?,description,24,"[{'description': -0.016305007, 'entity': -4.1278615, 'ab': -9.869538, 'n': -13.046455, 'human': -13.879097}]",description
Who is the sexiest women in the world ?,human being,29,"[{'human': -0.15305822, 'description': -2.4079714, 'entity': -2.958272, 'n': -11.37988, 'location': -12.976604}]",human
What day is known as the `` national day of prayer '' ?,numeric value,39,"[{'description': -0.3717822, 'ab': -1.6155642, 'entity': -2.193735, 'n': -9.025522, 'location': -9.60357}]",description
Where can I get a photograph of professor Randolph Quirk ?,location,35,"[{'entity': -0.04134396, 'human': -3.7483673, 'description': -4.6276245, 'location': -4.9401093, 'n': -11.273193}]",entity
Who was the supreme god of Germanic religion ?,human being,29,"[{'entity': -0.024398398, 'description': -3.7329555, 'human': -8.627692, 'n': -13.294447, 'location': -14.884069}]",entity
How do you handle a hungry man ?,description,26,"[{'human': -0.52364504, 'description': -0.9257219, 'entity': -4.4773803, 'n': -10.34681, 'location': -13.246156}]",human
Who 's played the most games for the New York Yankees ?,human being,29,"[{'entity': -0.6881122, 'human': -0.7046221, 'description': -5.822107, 'n': -8.647599, 'location': -10.237864}]",entity
"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?",human being,29,"[{'entity': -0.7734286, 'description': -0.79830813, 'human': -2.4257343, 'n': -10.287802, 'ab': -10.624351}]",entity
What is the name of the Indian who became prime minister by beating Mrs. Gandhi in the 1977 election ?,human being,29,"[{'human': -0.3640623, 'entity': -1.191165, 'description': -6.6684976, 'n': -11.455157, 'location': -12.93458}]",human
What are the conjugations of wake and woke ?,entity,23,"[{'description': -0.009774276, 'entity': -4.712739, 'n': -7.8930745, 'human': -8.521432, 'ab': -8.66134}]",description
What Chilean president was killed in a 1973 coup d 'etat ?,human being,29,"[{'entity': -0.1215894, 'description': -2.3616025, 'human': -3.9028084, 'n': -10.500289, 'location': -12.133262}]",entity
What was Einstein 's IQ ?,numeric value,43,"[{'n': -4.6010214e-06, 'entity': -12.605648, 'description': -13.627087, 'ab': -16.27563, 'human': -17.769848}]",n
Name the first Russian astronaut to do a spacewalk .,human being,29,"[{'human': -0.06772516, 'entity': -2.730727, 'description': -8.171416, 'n': -10.705732, 'location': -12.25942}]",human
Why do eyes sometimes look red in photographs ?,description,27,"[{'description': -1.2622395e-06, 'entity': -13.776085, 'n': -15.352876, 'human': -17.646965, 'location': -17.81617}]",description
What are John C. Calhoun and Henry Clay known as ?,entity,21,"[{'entity': -0.67896014, 'description': -0.71881616, 'human': -5.268956, 'ab': -7.919591, 'n': -11.67094}]",entity
What are the first names of the famous husband-and-wife acting team of Lunt and Fontanne ?,human being,29,"[{'human': -0.01791014, 'entity': -4.391857, 'description': -5.2414055, 'n': -9.507282, 'location': -12.123661}]",human
What are some good exercises for kids to do ?,entity,17,"[{'description': -0.00033617954, 'entity': -8.0373535, 'human': -11.720879, 'n': -12.404213, 'location': -14.233565}]",description
How many real fruit juices are there in a can of Hawaiian Punch ?,numeric value,38,"[{'n': -3.883893e-06, 'entity': -12.904712, 'description': -13.503734, 'ab': -16.603868, 'human': -19.354067}]",n
What is the abbreviation of the National Bureau of Investigation ?,abbreviation,0,"[{'ab': -1.9765537e-06, 'n': -13.169732, 'entity': -16.373758, 'description': -19.235956, 'location': -21.374468}]",ab
What is the principal river of Ireland ?,location,35,"[{'entity': -0.25721356, 'description': -1.8257027, 'location': -2.7252693, 'n': -8.7272835, 'ab': -13.507549}]",entity
What lake is the source of the White Nile ?,location,35,"[{'location': -0.08310241, 'entity': -2.5808594, 'description': -5.528163, 'n': -9.740748, 'ab': -13.108553}]",location
Garry Kasparov plays what game ?,entity,17,"[{'entity': -0.047076833, 'description': -3.7707858, 'human': -3.7854724, 'n': -8.341289, 'ab': -11.162142}]",entity
How much does a poodle weigh ?,numeric value,49,"[{'n': -2.0815281e-05, 'entity': -11.001569, 'description': -12.403302, 'ab': -15.946248, 'human': -18.484219}]",n
What is Zionism ?,description,24,"[{'description': -0.0918138, 'entity': -2.4336867, 'n': -11.92302, 'ab': -12.176216, 'location': -15.298829}]",description
What cable network bills itself as `` the family entertainer '' ?,human being,28,"[{'description': -0.47711173, 'entity': -0.97702, 'ab': -5.811836, 'n': -13.067329, 'location': -13.871261}]",description
How many points are there on a Backgammon board ?,numeric value,38,"[{'n': -5.912312e-06, 'entity': -12.121091, 'description': -14.668516, 'ab': -16.24599, 'location': -19.117916}]",n
What have you not let a tennis ball do if you volley ?,description,25,"[{'description': -4.8353428e-05, 'entity': -10.00844, 'n': -12.757188, 'human': -15.042498, 'location': -16.379778}]",description
Which comic book was not spawned directly from the pulp magazines ?,entity,5,"[{'description': -0.025111534, 'entity': -3.697391, 'n': -11.881016, 'human': -12.88016, 'location': -14.100864}]",description
"What product is for kids , and not for silly rabbits ?",entity,15,"[{'description': -0.0004079713, 'entity': -7.806522, 'n': -14.313288, 'human': -15.524104, 'location': -16.94681}]",description
What else has the swastika stood for ?,description,24,"[{'description': -8.6025255e-05, 'entity': -9.366037, 'n': -14.699579, 'ab': -16.813494, 'location': -17.419428}]",description
"Why do people get goosebumps when they have something emotional happen to them , like when they hear a beautiful piece of music , or see something beautiful , or get aroused by someone they love ?",description,27,"[{'description': -0.00010367096, 'human': -9.942211, 'entity': -9.949253, 'n': -11.81728, 'location': -14.91772}]",description
How many frames does a disk camera shoot ?,numeric value,38,"[{'n': -1.1430258e-06, 'entity': -13.899979, 'description': -15.047431, 'ab': -17.097862, 'location': -20.609215}]",n
What are the 7 Wonders of the World ?,entity,13,"[{'description': -0.35927954, 'entity': -1.2009238, 'location': -7.0882454, 'n': -9.600628, 'human': -13.04233}]",description
When did Theo Rousseau paint the `` Forest of Fontaine '' ?,numeric value,39,"[{'n': -0.9045553, 'description': -1.0657113, 'entity': -1.3892889, 'human': -6.701316, 'location': -8.455108}]",n
How many people have been Captain America ?,numeric value,38,"[{'n': -2.7728449e-05, 'entity': -10.552678, 'human': -13.854397, 'description': -14.466954, 'ab': -15.97652}]",n
What is meant by the term `` yield to maturity '' in reference to bonds ?,description,24,"[{'description': -0.22538343, 'n': -2.3110845, 'entity': -2.4122348, 'ab': -4.3412814, 'location': -13.836009}]",description
"What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?",entity,9,"[{'entity': -0.15751079, 'description': -2.1392765, 'n': -3.5780811, 'ab': -10.261079, 'location': -10.686747}]",entity
How did the war of 1812 affect Delaware ?,description,26,"[{'description': -0.0024286367, 'entity': -6.0549803, 'n': -9.856265, 'location': -10.530665, 'human': -14.800706}]",description
Where is the human skin least sensitive ?,entity,3,"[{'description': -0.36296946, 'location': -1.2139139, 'entity': -5.199792, 'human': -6.970498, 'n': -7.0118566}]",description
"What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?",human being,29,"[{'entity': -0.61232173, 'human': -1.1789874, 'description': -1.8999652, 'ab': -7.8073745, 'location': -8.523644}]",entity
What is the biggest `` thing '' humans have made ?,entity,13,"[{'description': -0.10794957, 'entity': -2.280145, 'human': -10.126809, 'n': -11.017617, 'location': -14.054138}]",description
What are all the rivers in Europe ?,location,35,"[{'location': -0.1045479, 'entity': -2.354754, 'description': -5.4643955, 'n': -9.057863, 'ab': -16.1958}]",location
Who won the Superbowl in ?,human being,29,"[{'n': -0.017863778, 'entity': -4.1533766, 'description': -6.825214, 'ab': -7.1348987, 'human': -9.42731}]",n
What five cards make up a perfect Cribbage hand ?,entity,13,"[{'description': -0.8613278, 'entity': -0.94754755, 'n': -1.6637799, 'human': -8.766234, 'ab': -8.960166}]",description
In what year was Gandhi assassinated ?,numeric value,39,"[{'n': -0.00016864816, 'entity': -8.732827, 'description': -12.277617, 'ab': -12.96553, 'location': -15.532303}]",n
What is the time it takes a typist to type a screenplay that is 100 pages long ?,numeric value,44,"[{'n': -2.1649737e-05, 'description': -11.066381, 'entity': -12.051137, 'ab': -15.195433, 'location': -18.704313}]",n
What is the full classification of a lady bug ?,entity,2,"[{'description': -0.068373576, 'entity': -2.7167804, 'n': -13.765965, 'ab': -16.05181, 'human': -16.279442}]",description
What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?,human being,29,"[{'entity': -0.089880936, 'human': -2.9611425, 'description': -3.388541, 'n': -8.28633, 'location': -9.178785}]",entity
How many pairs of wings does a tsetse fly have ?,numeric value,38,"[{'n': -0.0002782854, 'entity': -8.64574, 'description': -9.192806, 'ab': -14.686053, 'human': -16.192354}]",n
What was the name of the peace agreement imposed on Germany after World War I ?,entity,13,"[{'entity': -0.14432256, 'description': -2.007207, 'n': -11.12215, 'ab': -11.546688, 'location': -12.829609}]",entity
What 's the fifth-largest country in the world ?,location,33,"[{'entity': -0.69217616, 'n': -0.76294655, 'description': -3.4352865, 'location': -6.986022, 'human': -9.570411}]",entity
How do you box train a cat ?,description,26,"[{'description': -0.00070974004, 'entity': -7.255333, 'n': -13.125174, 'human': -13.979293, 'location': -15.383895}]",description
How was Teddy Roosevelt related to FDR ?,description,26,"[{'human': -0.7740973, 'entity': -1.0437202, 'description': -1.6785315, 'n': -9.591815, 'ab': -11.082995}]",human
What newspaper serves Salt Lake City ?,entity,5,"[{'entity': -0.5808687, 'location': -1.285428, 'description': -1.8090487, 'ab': -8.963147, 'n': -9.285298}]",entity
The film `` Jaws '' was made in what year ?,numeric value,39,"[{'n': -1.3900239e-05, 'entity': -11.433347, 'description': -13.012327, 'ab': -14.09889, 'location': -16.597227}]",n
How does lightning travel ?,description,26,"[{'description': -0.00039485365, 'entity': -7.8545356, 'n': -11.97073, 'location': -14.722493, 'ab': -16.800205}]",description
What spice do chefs pay the most for ?,entity,9,"[{'description': -0.035977494, 'entity': -3.378163, 'n': -6.716725, 'human': -11.660757, 'location': -12.149281}]",description
Who directed Citizen Kane ?,human being,29,"[{'human': -0.5639542, 'entity': -0.8470505, 'description': -6.076848, 'n': -9.8921175, 'ab': -10.81213}]",human
What is troilism ?,description,24,"[{'description': -0.8328009, 'entity': -0.9179678, 'ab': -1.7969581, 'n': -10.2106695, 'human': -14.135382}]",description
What was the sister ship of the Olympic ?,entity,22,"[{'entity': -0.011199694, 'description': -4.4984813, 'n': -11.5918045, 'ab': -13.884826, 'location': -14.018676}]",entity
What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?,human being,29,"[{'entity': -0.18327023, 'description': -1.9068495, 'ab': -4.555554, 'human': -4.7840924, 'n': -10.687405}]",entity
What is HTML ?,abbreviation,1,"[{'ab': -0.008448748, 'entity': -4.8445616, 'description': -7.5226245, 'n': -13.454447, 'location': -19.258982}]",ab
How do you identify prime numbers ?,description,26,"[{'n': -0.28104037, 'description': -1.4223977, 'entity': -5.5587425, 'ab': -11.694828, 'human': -12.254398}]",n
"Whose special bear 's creator was born on January 18 , 1779 ?",human being,29,"[{'human': -0.49346888, 'entity': -1.3726344, 'n': -2.2357478, 'description': -3.6522062, 'location': -5.766792}]",human
What high school does Archie attend ?,human being,28,"[{'entity': -0.47582728, 'location': -1.351163, 'description': -2.3852284, 'human': -3.6078308, 'n': -7.6292853}]",entity
What animal migrates the farthest ?,entity,2,"[{'description': -0.32344303, 'entity': -1.2863946, 'location': -9.976305, 'n': -10.273264, 'human': -14.249925}]",description
What film was based on the play Everybody Comes to Rick 's ?,entity,5,"[{'entity': -0.59295243, 'description': -0.8045462, 'n': -11.523288, 'location': -12.541714, 'ab': -13.403186}]",entity
Why do we call someone `` honey '' ?,description,27,"[{'description': -0.00032240388, 'entity': -8.048211, 'human': -13.17189, 'n': -14.235696, 'location': -16.39538}]",description
Madonna hocks which soft drink ?,entity,9,"[{'entity': -0.2742374, 'description': -1.4337757, 'human': -6.5865006, 'n': -10.157843, 'ab': -11.1180105}]",entity
What television network flogged its sports programming on Inga Nielsen 's body in 197 ?,human being,28,"[{'entity': -0.56333, 'description': -0.86456895, 'ab': -4.6973248, 'n': -8.446432, 'human': -9.683997}]",entity
In what country is Lund ?,location,33,"[{'location': -0.00015112259, 'entity': -8.838606, 'n': -12.391301, 'description': -13.273771, 'ab': -15.280172}]",location
What 's the sequel to Alice 's Adventures in Wonderland ?,entity,5,"[{'entity': -0.5145082, 'description': -0.9108857, 'n': -10.398067, 'human': -12.127621, 'location': -13.785839}]",entity
What is the capital of Seattle ?,location,32,"[{'location': -0.0023132663, 'entity': -6.137338, 'description': -8.94513, 'n': -11.042436, 'ab': -12.5632715}]",location
What Italian leader had a lifelong fear of the evil eye ?,human being,29,"[{'description': -0.14624794, 'entity': -2.0618975, 'human': -4.7295685, 'n': -11.471473, 'location': -13.022842}]",description
What city in Florida is Sea World in ?,location,32,"[{'location': -1.2708151e-05, 'entity': -11.500173, 'n': -13.512211, 'description': -13.65694, 'ab': -16.139088}]",location
Who said : `` What contemptible scoundrel stole the cork from my lunch ? '',human being,29,"[{'description': -0.047718048, 'entity': -3.317539, 'human': -4.5734134, 'location': -10.935946, 'n': -11.375263}]",description
What 's a water funnel ?,description,24,"[{'description': -0.006213541, 'entity': -5.0847735, 'n': -12.683275, 'ab': -14.118425, 'location': -15.771775}]",description
What is a fear of worms ?,entity,7,"[{'description': -0.0026569671, 'entity': -5.933565, 'n': -12.518678, 'human': -14.510979, 'ab': -15.368638}]",description
What is a Chinese `` spouting '' bowl ?,description,24,"[{'description': -0.0025889582, 'entity': -5.9580636, 'n': -14.422747, 'location': -16.821245, 'human': -17.127703}]",description
What does an emperor do ?,description,25,"[{'description': -0.0007067561, 'entity': -7.2756853, 'human': -11.3371315, 'n': -12.944416, 'location': -16.123516}]",description
What president kissed the Queen Mother on the lips ?,human being,29,"[{'human': -0.55250615, 'description': -1.5278479, 'entity': -1.5731361, 'n': -9.7896805, 'ab': -10.546501}]",human
Where does the tennis star Stefan Edberg come from ?,location,35,"[{'location': -0.119013414, 'entity': -2.309527, 'human': -4.585276, 'description': -5.922083, 'n': -11.429079}]",location
What continent pushes up the Executive Committee mountain range ?,location,35,"[{'location': -0.015077403, 'entity': -4.661325, 'description': -5.204469, 'n': -11.017854, 'ab': -13.152932}]",location
How do they raise the cranes when building high-rise buildings ?,description,26,"[{'description': -0.00019821846, 'entity': -8.535705, 'n': -13.4505, 'human': -15.515974, 'location': -15.519941}]",description
"What was Al Capone finally imprisoned for , in 1931 ?",description,27,"[{'description': -0.11116189, 'entity': -2.3371828, 'n': -5.541597, 'ab': -5.699884, 'human': -6.6219654}]",description
What food can I use to catch a possum ?,entity,9,"[{'description': -0.03186552, 'entity': -3.462873, 'n': -11.056386, 'location': -11.942364, 'human': -13.824055}]",description
What was Al Capone 's nickname ?,human being,29,"[{'description': -0.06737907, 'entity': -2.732624, 'ab': -9.397884, 'human': -10.797718, 'n': -11.823581}]",description
Who was the author of the famous fairy tale `` Snow White and Seven Dwarfs '' ?,human being,29,"[{'human': -0.37095416, 'entity': -1.1906104, 'description': -5.1398897, 'n': -10.555806, 'location': -12.55827}]",human
What is the largest city in Germany ?,location,32,"[{'location': -0.08670752, 'entity': -2.533691, 'description': -5.6733775, 'n': -8.339241, 'human': -11.525756}]",location
What is a fear of cholera ?,entity,7,"[{'description': -0.0035370765, 'entity': -5.6477623, 'n': -12.49204, 'ab': -13.956807, 'human': -14.198384}]",description
What park contains Firehole River and Fairy Falls ?,location,35,"[{'location': -0.01426442, 'description': -4.6515474, 'entity': -5.3813524, 'n': -11.137441, 'ab': -15.701505}]",location
What 's the largest island in the West Indies ?,location,35,"[{'entity': -0.37345076, 'description': -1.7132869, 'location': -2.0696023, 'n': -5.273483, 'ab': -11.790182}]",entity
What New England state carries the telephone area code 27 ?,location,36,"[{'location': -0.005311544, 'entity': -5.7774134, 'n': -6.4491515, 'ab': -7.4478164, 'description': -10.227654}]",location
What is an example of a natural acid-base indicator ?,entity,13,"[{'description': -0.020471338, 'entity': -3.9000185, 'n': -10.855355, 'ab': -13.7921915, 'location': -13.927042}]",description
In what county is Eckley Colorado ?,location,35,"[{'location': -0.00015016893, 'entity': -8.909902, 'n': -11.204541, 'description': -14.020702, 'ab': -14.184422}]",location
How do I find info about rice importers in the world ?,description,26,"[{'location': -0.06272408, 'entity': -2.8795881, 'description': -5.378665, 'n': -10.608973, 'ab': -14.084336}]",location
"How much does it cost to have a tree planted by dialing , 900 , 740-TREE ?",numeric value,41,"[{'n': -0.0024006725, 'ab': -6.6959047, 'entity': -6.9196134, 'description': -8.671117, 'human': -13.467106}]",n
What is the song Stairway to Heaven by Led Zeppelin about ?,description,25,"[{'description': -0.00032550612, 'entity': -8.03555, 'n': -13.419179, 'human': -16.401182, 'ab': -16.678555}]",description
How does hair curl ?,description,26,"[{'description': -1.3661821e-05, 'entity': -11.248815, 'n': -14.415869, 'human': -16.90331, 'ab': -17.889235}]",description
What are pushed and coupled in hump yards ?,entity,13,"[{'description': -0.01531221, 'entity': -4.1873016, 'n': -11.950188, 'location': -13.596046, 'ab': -14.251867}]",description
How long do hermit crabs live ?,numeric value,44,"[{'n': -0.00161177, 'description': -6.875147, 'entity': -7.4668975, 'ab': -12.200448, 'location': -14.576616}]",n
What city hosted the first Winter Olympics in Asia ?,location,32,"[{'location': -6.158372e-05, 'entity': -9.768181, 'description': -13.061203, 'n': -13.177811, 'ab': -14.743622}]",location
What is the origin of the first name ` Breony ' ?,description,25,"[{'description': -0.06401392, 'entity': -2.8345063, 'human': -5.73894, 'location': -10.259616, 'n': -11.864733}]",description
What month were you born in if your birthstone is sardonyx ?,numeric value,39,"[{'n': -0.0745231, 'description': -2.6917334, 'entity': -5.734511, 'ab': -7.49729, 'human': -8.775167}]",n
Who is behind the name of the Harvey Wallbanger drink ?,human being,29,"[{'entity': -0.34026173, 'description': -1.5501693, 'human': -2.574507, 'n': -11.602681, 'location': -13.006993}]",entity
What is the origin of `` Beauty is in the eye of the beholder '' ?,description,25,"[{'description': -0.0021774785, 'entity': -6.1335254, 'n': -13.216731, 'ab': -13.2582655, 'human': -13.560611}]",description
"What soft drink not only has its own video game , but was featured in its own Marvel comic book ?",entity,9,"[{'entity': -0.15283437, 'description': -1.9539282, 'n': -11.949114, 'ab': -12.276392, 'location': -14.542116}]",entity
What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?,entity,5,"[{'description': -0.00048263065, 'entity': -7.63994, 'n': -14.087114, 'human': -14.256533, 'ab': -15.450655}]",description
Madonna advertises for what soft drink ?,entity,9,"[{'entity': -0.051003266, 'description': -3.0094225, 'human': -8.553658, 'ab': -8.724709, 'n': -10.086288}]",entity
What does A&W of root beer fame stand for ?,abbreviation,1,"[{'ab': -0.0019263267, 'entity': -6.3447075, 'description': -8.71265, 'n': -12.458103, 'location': -18.029652}]",ab
What tennis term is said to come from the French word for egg ?,entity,21,"[{'description': -0.10014914, 'entity': -2.3644314, 'ab': -6.679479, 'n': -10.213536, 'location': -13.564711}]",description
What does a collier mine ?,entity,13,"[{'description': -0.032060415, 'entity': -3.4563615, 'n': -12.113847, 'location': -13.219804, 'ab': -14.970575}]",description
How much money can a person be fined for having a dog on a beach ?,numeric value,41,"[{'n': -9.966347e-06, 'entity': -12.034394, 'description': -12.484857, 'ab': -15.206864, 'human': -18.550943}]",n
"What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?",location,33,"[{'location': -0.04325576, 'entity': -3.1825836, 'description': -7.101361, 'n': -10.429409, 'ab': -13.35445}]",location
What are the ages in comic book lingo ?,entity,8,"[{'n': -0.0650536, 'description': -2.788694, 'entity': -6.573011, 'human': -9.765218, 'ab': -10.561635}]",n
What kinds of animals are in Cambodia ?,entity,2,"[{'description': -0.15205078, 'entity': -1.9589888, 'location': -10.109829, 'n': -11.204936, 'human': -15.990964}]",description
What South African producer had a 1988 profit of $836 million ?,human being,28,"[{'n': -0.00020668321, 'entity': -8.502266, 'description': -12.778581, 'ab': -14.223854, 'location': -16.312668}]",n
What American actress was the first to be called a `` vamp '' ?,human being,29,"[{'entity': -0.26922464, 'description': -1.9505221, 'human': -2.3663926, 'n': -11.84326, 'location': -13.3760805}]",entity
What do the 12 days of Christmas mean ?,description,24,"[{'description': -0.00031489186, 'entity': -8.070078, 'n': -13.383302, 'location': -15.209138, 'human': -15.508814}]",description
